date,added,ratings,reviews,to-read
2022-08-16,4,-1,0,1
2022-08-17,6,2,0,2
2022-08-18,0,-1,0,0
2022-08-19,4,0,1,2
2022-08-20,3,-1,0,1
2022-08-21,3,4,1,0
2022-08-22,4,0,0,1
2022-08-23,3,-1,0,1
2022-08-24,3,1,0,1
2022-08-25,4,1,0,1
2022-08-26,6,1,0,2
2022-08-27,4,4,0,0
2022-08-28,4,0,0,2
2022-08-29,3,-2,0,2
2022-08-30,6,3,0,1
2022-08-31,7,2,0,3
2022-09-01,2,0,0,1
2022-09-02,2,-1,0,0
2022-09-03,0,1,0,0
2022-09-04,0,0,0,0
2022-09-05,3,2,0,0
2022-09-06,4,1,0,1
2022-09-07,3,1,0,0
2022-09-08,6,3,0,4
2022-09-09,1,0,0,1
2022-09-10,0,0,0,0
2022-09-11,3,1,0,1
2022-09-12,6,1,0,5
2022-09-13,5,-1,0,3
2022-09-14,1,3,0,0
2022-09-15,2,0,0,1
2022-09-16,3,1,0,1
2022-09-17,4,1,0,1
2022-09-18,4,2,0,0
2022-09-19,1,0,0,1
2022-09-20,3,2,0,1
2022-09-21,2,1,0,0
2022-09-22,1,0,0,1
2022-09-23,1,0,0,0
2022-09-24,2,1,0,1
2022-09-25,6,2,0,1
2022-09-26,2,0,0,0
2022-09-27,2,0,0,0
2022-09-28,1,-1,0,1
2022-09-29,3,2,0,0
2022-09-30,2,2,0,1
2022-10-01,4,1,0,0
2022-10-02,4,1,0,0
2022-10-03,2,1,0,0
2022-10-04,1,0,0,0
2022-10-05,2,0,0,1
2022-10-06,4,2,0,1
2022-10-07,4,1,0,1
2022-10-08,4,2,0,0
2022-10-09,6,4,0,2
2022-10-10,1,0,0,1
2022-10-11,1,1,0,0
2022-10-12,6,4,0,3
2022-10-13,4,-1,0,2
2022-10-14,1,0,0,0
2022-10-15,6,1,0,0
2022-10-16,2,1,0,1
2022-10-17,4,0,0,2
2022-10-18,4,2,0,1
2022-10-19,2,0,0,1
2022-10-20,2,0,0,1
2022-10-21,3,1,0,1
2022-10-22,2,1,0,1
2022-10-23,5,-1,0,0
2022-10-24,6,2,0,2
2022-10-25,5,1,0,3
2022-10-26,3,2,0,1
2022-10-27,4,2,0,0
2022-10-28,8,0,0,3
2022-10-29,2,1,0,0
2022-10-30,4,1,0,1
2022-10-31,1,1,0,0
2022-11-01,2,1,0,0
2022-11-02,2,1,0,0
2022-11-03,2,0,0,1
2022-11-04,5,3,0,0
2022-11-05,4,1,0,1
2022-11-06,0,1,0,0
2022-11-07,2,0,0,2
2022-11-08,3,1,1,0
2022-11-09,1,1,0,0
2022-11-10,4,1,0,2
2022-11-11,4,3,0,1
2022-11-12,3,2,0,0
2022-11-13,8,2,0,5
2022-11-14,3,1,0,0
2022-11-15,5,3,0,1
2022-11-16,2,1,0,0
2022-11-17,1,0,0,1
2022-11-18,5,0,0,3
2022-11-19,3,-2,0,2
2022-11-20,7,1,0,1
2022-11-21,3,0,0,2
2022-11-22,2,1,0,0
2022-11-23,3,-2,0,1
2022-11-24,2,1,0,1
2022-11-25,5,1,0,2
2022-11-26,2,1,0,0
2022-11-27,6,1,0,2
2022-11-28,2,1,0,0
2022-11-29,2,1,0,0
2022-11-30,4,2,0,1
2022-12-01,2,2,0,0
2022-12-02,5,3,1,1
2022-12-03,3,2,0,0
2022-12-04,3,0,0,0
2022-12-05,2,1,0,0
2022-12-06,5,1,0,0
2022-12-07,4,2,1,0
2022-12-08,2,3,0,1
2022-12-09,1,1,0,1
2022-12-10,5,4,0,1
2022-12-11,2,4,0,0
2022-12-12,3,1,0,0
2022-12-13,1,0,0,0
2022-12-14,5,3,0,0
2022-12-15,3,1,0,0
2022-12-16,1,1,0,0
2022-12-17,2,-1,0,0
2022-12-18,7,3,0,1
2022-12-19,3,-2,0,1
2022-12-20,3,1,0,0
2022-12-21,6,0,0,1
2022-12-22,2,4,0,1
2022-12-23,3,3,0,1
2022-12-24,6,1,0,3
2022-12-25,2,2,1,0
2022-12-26,5,1,0,2
2022-12-27,6,2,0,1
2022-12-28,7,1,0,2
2022-12-29,6,3,0,1
2022-12-30,5,2,0,0
2022-12-31,6,3,0,1
2023-01-01,13,2,0,5
2023-01-02,9,2,-1,1
2023-01-03,6,2,0,2
2023-01-04,8,1,0,2
2023-01-05,9,1,0,3
2023-01-06,10,2,0,3
2023-01-07,7,6,0,0
2023-01-08,9,3,0,1
2023-01-09,5,2,0,1
2023-01-10,10,2,0,0
2023-01-11,1,2,0,1
2023-01-12,3,0,0,1
2023-01-13,7,2,0,2
2023-01-14,5,3,0,1
2023-01-15,12,4,0,2
2023-01-16,3,2,0,0
2023-01-17,2,1,0,0
2023-01-18,2,0,0,0
2023-01-19,3,1,0,0
2023-01-20,2,3,0,0
2023-01-21,5,3,0,1
2023-01-22,6,1,0,1
2023-01-23,5,1,0,3
2023-01-24,6,1,0,1
2023-01-25,5,1,0,0
2023-01-26,5,2,0,1
2023-01-27,3,-2,0,0
2023-01-28,6,1,1,1
2023-01-29,1,0,0,0
2023-01-30,2,1,0,1
2023-01-31,6,0,0,2
